Keys,Values
q1,"1. Jiayue Xu
2. Zhijie Zhang
3. Chunxia Yao
4. Deben Li
5. Jiaxin Zhou
6. Ying Jiang
7. Zhongliang Dong"
q2,"1. Jiayue Xu - School of Materials Science and Engineering, Shanghai Institute of Technology, Shanghai 201418, P. R. China
2. Zhijie Zhang - School of Materials Science and Engineering, Shanghai Institute of Technology, Shanghai 201418, P. R. China
3. Chunxia Yao - Institute for Agro-food Standards and Testing Technology, Shanghai Academy of Agricultural Sciences, Shanghai 201403, P. R. China
4. Deben Li - School of Materials Science and Engineering, Shanghai Institute of Technology, Shanghai 201418, P. R. China
5. Jiaxin Zhou - Institute for Agro-food Standards and Testing Technology, Shanghai Academy of Agricultural Sciences, Shanghai 201403, P. R. China
6. Ying Jiang - School of Materials Science and Engineering, Shanghai Institute of Technology, Shanghai 201418, P. R. China
7. Zhongliang Dong - School of Materials Science and Engineering, Shanghai Institute of Technology, Shanghai 201418, P. R. China"
q3,'ACS Applied Energy Materials'
q4,ACS Applied Energy Materials
q5,None
q6,'Research'
q7,'2022'
q8,None
q9,'CsPbBr3'
q10,'Yes'
q11,None
q12,"1. Powder X-ray diffraction (XRD)
2. Transmission electron microscopy (TEM) and high-resolution TEM (HRTEM)
3. Energy-dispersive X-ray spectroscopy (EDX)
4. UV-vis spectrometry
5. X-ray photoelectron spectroscopy (XPS)
6. Fourier-transform infrared (FTIR) spectroscopy
7. Photoluminescence (PL) spectroscopy
8. Electron spin resonance (ESR) measurements
9. Photoelectrochemical measurements
10. Mott−Schottky (M−S) analysis"
q13,"'Cs_2CO_3 (0.817 g), PbBr_2 (0.132 g)'"
q14,None
q15,'CsPbBr3/CoAl-LDH composite'
q16,'photocatalytic CO2 reduction'
q17,None
q18,None
q19,None
q20,None
