Keys,Values
q1,"Suman Bera, Sanjib Shyamal, Narayan Pradhan"
q2,"School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India"
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,"""Chemically Spiraling CsPbBr3 Perovskite Nanorods"""
q6,Research Article
q7,2021
q8,Yes
q9,Orthorhombic CsPbBr3
q10,Yes
q11,"Excitation wavelength: 350 nm, Emission wavelength: 518 nm."
q12,"1. Transmission Electron Microscopy (TEM), 2. High-Resolution TEM (HRTEM), 3. Powder X-ray Diffraction (XRD), 4. UV-Vis Spectroscopy, 5. Photoluminescence (PL) Spectroscopy, 6. Time Correlated Single Photon Counting (TCSPC), 7. Energy-Dispersive X-ray Spectroscopy (EDS), 8. 1H Nuclear Magnetic Resonance Spectroscopy (1HNMR), 9. Gas Chromatography (GC), 10. Photoelectrochemical (PEC) Measurement."
q13,"1. Lead(II) oxide (PbO), 2. 0.2 mmol
3. Cadmium oxide (CdO), 4. 0.2 mmol"
q14,30% to 62%
q15,CsPbBr3 perovskite nanorods
q16,Photocatalysis for CO2 reduction to methane (CH4).
q17,5 mg
q18,450 W
q19,None
q20,150 mW/cm²
