Keys,Values
q1,"Yang-Fan Xu, Mu-Zi Yang, Bai-Xue Chen, Xu-Dong Wang, Hong-Yan Chen, Dai-Bin Kuang, Cheng-Yong Su"
q2,"MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou 510275, P. R. China."
q3,American Chemical Society
q4,Journal of the American Chemical Society (JACS)
q5,A CsPbBr3 Perovskite Quantum Dot/Graphene Oxide Composite for Photocatalytic CO2 Reduction
q6,Research article
q7,2017
q8,Yes
q9,CsPbBr3
q10,"369.6, None"
q11,"PXRD, TEM, HRTEM, EDX, XPS, TGA, PL, EQE, EIS"
q12,None
q13,CsPbBr3 quantum dots (QDs) and a CsPbBr3 QD/graphene oxide (GO) composite
q14,"Major application: Photocatalytic CO2 reduction
Type of reaction: Photocatalytic"
q15,None
q16,"100,None,None"
q17,29.8
q18,12
q19,Ethyl acetate
q20,58.7
q21,29.6
q22,3
q23,6
