Keys,Values
q1,"Michael C. Brennan, John E. Herr, Triet S. Nguyen-Beck, Jessica Zinna, Sergiu Draguta, Sergei Rouvimov, John Parkhill, Masaru Kuno"
q2,"'Department of Chemistry and Biochemistry, University of Notre Dame, 251 Nieuwland Science Hall, Notre Dame, Indiana 46556, United States'"
q3,'American Chemical Society'
q4,Journal of the American Chemical Society
q5,None
q6,'Research article'
q7,'2017'
q8,Yes
q9,'CsPbBr3 Perovskite'
q10,Yes
q11,"1. Excitation wavelength (λexc): 350 nm
2. Emission wavelength: None"
q12,"1. Transmission Electron Microscopy (TEM)
2. Photoluminescence (PL) properties analysis
3. Solvatochromism data analysis
4. Band-edge excitation emission and absorption spectra
5. Convolution analysis of ensemble NC sizes
6. Bulk electronic structure calculations"
q13,'PbBr2' and '0.18 mmol'
q14,'40−90%'
q15,None
q16,"1. Solar cells
2. Lighting
3. Display technologies

Photocatalysis is not mentioned."
q17,None
q18,None
q19,None
q20,None
