Keys,Values
q1,"Yang-Fan Xu, Ming-Zhe Yu, Dai-Bin Kuang, Cheng-Yong Su"
q2,"1. National Natural Science Foundation of China
2. GDUPS (2016)
3. Program of Guangzhou Science and Technology
4. Fundamental Research Funds for the Central Universities
5. NSF of Guangdong Province"
q3,American Chemical Society
q4,Journal of the American Chemical Society (J. Am. Chem. Soc.)
q5,"""A CsPbBr3 Perovskite Quantum Dot/Graphene Oxide Composite for Photocatalytic CO2 Reduction"""
q6,Research article
q7,'2017'
q8,"Yes, the supporting information is available free of charge on the ACS Publications website at doi: 10.1021/jacs.7b00489."
q9,CsPbBr3
q10,"Yes, the halide perovskite mentioned in the article showed strong photoinduced luminescence under UV-light stimulation."
q11,None
q12,"1. Powder X-ray diffraction (PXRD)
2. Transmission electron microscopy (TEM)
3. High-resolution transmission electron microscopy (HRTEM)
4. Energy-dispersive X-ray (EDX) mapping
5. X-ray photoelectron spectroscopy (XPS)
6. Raman spectroscopy
7. Thermogravimetric analysis (TGA)
8. Photoluminescence (PL) spectroscopy
9. Photoelectrochemical (PEC) measurements
10. Electrochemical impedance spectroscopy (EIS)"
q13,None
q14,None
q15,CsPbBr3 Quantum Dot/Graphene Oxide Composite
q16,'Photocatalytic CO2 Reduction'
q17,None
q18,150 mW
q19,'AM 1.5G simulated illumination'
q20,AM 1.5G
